Month,Coal Production (Quadrillion Btu),Natural Gas Production,Crude Oil Production,Total Fossil Fuels Production,Nominal Natural Gas,Real Natural Gas,Nominal Crude Oil ($/barrel),Real Crude Oil ($/barrel),Nominal Coal,Real Coal,Consumer Price Index ,Coal Consumption (Quadrillion Btu),Natural Gas Consumption,Crude Oil Consumption
1990 January,1.978864,1.84667,1.356802,5.182336,5.43,10.92,20.51,41.25445745,38.0000000000000,76.44705882,1.275,1.651617,2.214586,2.85312
1990 February,1.792179,1.650498,1.217552,4.660229,5.65,11.32,19.78,39.63069805,38.0000000000000,76.1484375,1.280,1.465526,1.907248,2.600579
1990 March,2.001389,1.753415,1.336515,5.091319,5.60,11.17,18.94,37.7706458,38.0000000000000,75.79315708,1.286,1.528733,1.87065,2.857607
1990 April,1.817216,1.661925,1.288848,4.767989,5.64,11.22,16.66,33.14648526,38.0000000000000,75.61675718,1.289,1.449803,1.668133,2.717778
1990 May,1.890398,1.685536,1.317636,4.89357,6.00,11.92,16.07,31.92309857,40.5000000000000,80.46669249,1.291,1.477073,1.452612,2.841449
1990 June,1.848615,1.633115,1.236416,4.718147,6.56,12.95,15.15,29.91017032,40.5000000000000,79.97113164,1.299,1.604918,1.350899,2.810411
1990 July,1.744221,1.66651,1.289753,4.700484,7.04,13.83,16.54,32.50426858,40.5000000000000,79.60344828,1.305,1.740572,1.341798,2.880305
1990 August,2.007104,1.682955,1.310137,5.000195,7.08,13.80,24.26,47.27704369,40.5000000000000,78.93806991,1.316,1.776442,1.372602,3.045026
1990 September,1.816545,1.6165,1.256945,4.689989,6.90,13.36,29.88,57.83358566,40.5000000000000,78.40188679,1.325,1.639972,1.333192,2.681366
1990 October,2.041296,1.75632,1.356032,5.153647,6.14,11.80,32.88,63.21081409,40.5000000000000,77.87293853,1.334,1.604968,1.458073,2.824351
1990 November,1.895815,1.749751,1.285266,4.930831,5.69,10.91,30.19,57.9091393,40.5000000000000,77.69820494,1.337,1.535479,1.609279,2.693173
1990 December,1.653907,1.797675,1.319286,4.770867,5.62,10.74,25.56,48.8454076,40.5000000000000,77.40871833,1.342,1.697532,2.024196,2.746459
1991 January,1.874105,1.852575,1.348488,5.075167,5.54,10.55,22.3,42.45732925,40.5000000000000,77.12138085,1.347,1.748968,2.389278,2.796122
1991 February,1.803532,1.639805,1.240248,4.683585,5.56,10.58,18.3,34.81581788,40.5000000000000,77.06416914,1.348,1.460729,1.987785,2.447146
1991 March,1.855883,1.779209,1.356772,4.991864,5.60,10.65,17.58,33.44601521,39.5000000000000,75.16135015,1.348,1.480065,1.921539,2.702825
1991 April,1.7296,1.696277,1.306483,4.732359,5.90,11.20,18.32,34.77647224,39.5000000000000,74.99444856,1.351,1.37316,1.620823,2.612167
1991 May,1.741999,1.692375,1.332085,4.766459,6.28,11.88,18.36,34.72389159,39.5000000000000,74.71792035,1.356,1.497435,1.416318,2.708653
1991 June,1.677008,1.612635,1.273737,4.56338,6.97,13.14,17.78,33.52804669,39.5000000000000,74.49816176,1.360,1.596278,1.277489,2.744626
1991 July,1.741691,1.632338,1.320983,4.695011,7.23,13.61,18.14,34.15667438,39.5000000000000,74.38876652,1.362,1.738203,1.377051,2.841337
1991 August,1.940527,1.638755,1.315446,4.894729,7.36,13.82,18.71,35.12679228,39.5000000000000,74.17093704,1.366,1.737679,1.367091,2.881249
